@relation kitchenham_normalized

@attribute Project numeric
@attribute Client.code numeric
@attribute Project.type numeric
@attribute Actual.duration numeric
@attribute Actual.effort numeric
@attribute Adjusted.function.points numeric
@attribute First.estimate numeric
@attribute First.estimate.method numeric

@data
1,1,0.0,107,485,101.65,495,4
2,1,2.0,144,990,57.12,1365,0
3,1,2.0,604,13635,1010.88,8244,4
4,1,3.0,226,1576,45.6,1595,3
5,1,2.0,326,3826,1022.58,3828,0
6,1,3.0,294,1079,77.04,879,4
7,1,0.0,212,2224,159.6,2895,4
8,1,1.0,175,1698,225.54,1800,0
9,1,4.0,584,1173,144.72,1160,4
10,1,2.0,171,1401,84.42,885,4
11,1,2.0,201,2170,126.42,2125,4
12,1,2.0,195,1122,392.16,1381,4
13,1,5.0,109,1024,18.9,1142,3
14,1,3.0,263,1832,112.14,1895,4
15,1,0.0,165,1016,210.08,1339,4
16,1,2.0,46,322,260.95,447,4
17,2,2.0,186,580,609.7,507,4
18,2,2.0,189,1003,169.85,952,4
19,2,3.0,95,380,56,380,4
20,2,3.0,53,220,30,220,4
21,2,3.0,365,2356,241.86,2879,4
22,2,3.0,438,1388,219.88,1483,4
23,2,3.0,109,1066,229.71,1667,4
24,2,2.0,283,2860,458.38,2125,0
25,2,3.0,137,1143,177.63,1175,0
26,2,3.0,102,1431,287.64,2213,0
27,2,3.0,103,1868,343.54,2247,0
28,2,3.0,192,2172,346.8,1926,0
29,2,2.0,219,8509,1121.48,5641,4
30,2,3.0,484,5927,761.08,3928,4
31,2,3.0,173,2663,464,1995,0
32,2,3.0,169,1425,203.01,2281,4
33,2,3.0,207,3504,550.14,3305,4
34,2,3.0,61,652,86.45,797,4
35,2,3.0,311,7649,1362.11,3922,0
36,2,3.0,418,5927,681,6809,0
37,2,3.0,410,6607,485.1,4955,0
38,2,?,497,2591,172.96,1294,4
39,2,3.0,259,4494,2075.8,5688,4
40,2,2.0,234,4824,756.25,5245,4
41,2,?,462,5094,789.66,3930,4
42,2,3.0,291,3088,357,2562,4
43,2,3.0,116,892,62.08,1526,1
44,2,3.0,128,750,157.56,1018,4
45,2,2.0,185,5646,322.62,5646,2
46,2,3.0,207,1532,81.34,1532,4
47,2,3.0,151,1280,191,1532,4
48,2,3.0,99,313,121.52,314,4
49,2,3.0,61,339,222.78,412,0
50,2,3.0,101,583,113.52,738,4
51,2,?,462,726,15.36,763,4
52,2,3.0,133,1939,320.12,1750,0
53,2,3.0,106,669,84.28,682,0
54,2,3.0,68,1413,248.88,1320,4
55,2,3.0,239,4115,616.32,3573,4
56,2,3.0,330,4009,515.07,2913,0
57,2,3.0,37,630,88.2,701,4
58,2,3.0,187,718,115.14,725,0
59,2,3.0,329,1584,63.84,1826,0
60,2,3.0,120,5816,1015.98,5000,4
61,2,3.0,85,2037,359.64,2640,0
62,2,3.0,49,1428,240.84,2534,0
63,2,3.0,152,1252,285.12,2231,0
64,2,3.0,47,655,61.2,1000,4
65,2,?,148,1318,287.28,1645,3
66,2,2.0,141,995,172,1067,4
67,2,2.0,235,2265,144.06,2270,4
68,2,2.0,298,654,108.64,656,4
69,2,?,99,718,165.36,121,0
70,2,3.0,127,2029,680.9,1685,4
71,2,2.0,163,1650,409.4,2350,4
72,2,2.0,316,2223,313.95,2308,4
73,2,2.0,388,8600,1136.34,7850,0
74,2,3.0,152,1884,177,2004,4
75,2,2.0,166,5359,746.24,3715,5
76,2,3.0,114,1159,274.92,1273,0
77,2,3.0,82,437,43.5,437,0
78,2,2.0,123,570,54.75,813,4
79,2,3.0,49,502,130,900,4
80,2,3.0,183,1877,525.96,2475,0
81,2,3.0,149,1693,311.85,799,0
82,2,?,370,3319,1185.08,2160,4
83,2,2.0,128,1557,258.24,1770,4
84,2,3.0,126,557,60,760,4
85,2,3.0,200,3050,303.52,2588,0
86,2,2.0,76,1113,98.9,1148,0
87,2,3.0,299,5456,711.9,4064,4
88,2,2.0,131,763,182.4,933,4
89,2,?,140,2203,351.9,2096,4
90,2,3.0,169,3483,401.98,3284,4
